country_id,next_week_hospitalizations
Belgium 9/7/2020,267
Belgium 9/8/2020,290
Belgium 9/9/2020,278
Belgium 9/10/2020,289
Belgium 9/11/2020,300
Belgium 9/12/2020,290
Belgium 9/13/2020,323
Belgium 9/14/2020,460
Belgium 9/15/2020,465
Belgium 9/16/2020,492
Belgium 9/17/2020,510
Belgium 9/18/2020,518
Belgium 9/19/2020,550
Belgium 9/20/2020,551
Belgium 9/21/2020,701
Belgium 9/22/2020,729
Belgium 9/23/2020,740
Belgium 9/24/2020,794
Belgium 9/25/2020,797
Belgium 9/26/2020,799
Belgium 9/27/2020,817
Belgium 9/28/2020,1298
Belgium 9/29/2020,1294
Belgium 9/30/2020,1305
Belgium 10/1/2020,1330
Belgium 10/2/2020,1332
Belgium 10/3/2020,1343
Belgium 10/4/2020,1373
Belgium 11/30/2020,3038
Belgium 12/1/2020,2515
Belgium 12/2/2020,2462
Belgium 12/3/2020,2308
Belgium 12/4/2020,2068
Belgium 12/5/2020,1856
Belgium 12/6/2020,1958
Belgium 12/7/2020,3429
Belgium 12/8/2020,3093
Belgium 12/9/2020,3162
Belgium 12/10/2020,3015
Belgium 12/11/2020,2805
Belgium 12/12/2020,2565
Belgium 12/13/2020,2880
Belgium 12/14/2020,2942
Belgium 12/15/2020,2774
Belgium 12/16/2020,2777
Belgium 12/17/2020,2709
Belgium 12/18/2020,2602
Belgium 12/19/2020,2462
Belgium 12/20/2020,2573
Belgium 12/21/2020,2374
Belgium 12/22/2020,2298
Belgium 12/23/2020,2235
Belgium 12/24/2020,2273
Belgium 12/25/2020,2022
Belgium 12/26/2020,2017
Belgium 12/27/2020,2103
Belgium 3/1/2021,2015
Belgium 3/2/2021,1957
Belgium 3/3/2021,1937
Belgium 3/4/2021,1920
Belgium 3/5/2021,1900
Belgium 3/6/2021,1841
Belgium 3/7/2021,1871
Belgium 3/8/2021,2101
Belgium 3/9/2021,2085
Belgium 3/10/2021,2089
Belgium 3/11/2021,2077
Belgium 3/12/2021,2063
Belgium 3/13/2021,2035
Belgium 3/14/2021,2098
Belgium 3/15/2021,2598
Belgium 3/16/2021,2603
Belgium 3/17/2021,2652
Belgium 3/18/2021,2700
Belgium 3/19/2021,2675
Belgium 3/20/2021,2655
Belgium 3/21/2021,2695
Belgium 3/22/2021,3186
Belgium 3/23/2021,3210
Belgium 3/24/2021,3250
Belgium 3/25/2021,3292
Belgium 3/26/2021,3262
Belgium 3/27/2021,3254
Belgium 3/28/2021,3336
Croatia 9/7/2020,368
Croatia 9/8/2020,355
Croatia 9/9/2020,339
Croatia 9/10/2020,367
Croatia 9/11/2020,378
Croatia 9/12/2020,345
Croatia 9/13/2020,331
Croatia 9/14/2020,351
Croatia 9/15/2020,341
Croatia 9/16/2020,327
Croatia 9/17/2020,336
Croatia 9/18/2020,315
Croatia 9/19/2020,315
Croatia 9/20/2020,316
Croatia 9/21/2020,342
Croatia 9/22/2020,321
Croatia 9/23/2020,303
Croatia 9/24/2020,303
Croatia 9/25/2020,315
Croatia 9/26/2020,323
Croatia 9/27/2020,334
Croatia 9/28/2020,376
Croatia 9/29/2020,351
Croatia 9/30/2020,369
Croatia 10/1/2020,392
Croatia 10/2/2020,378
Croatia 10/3/2020,376
Croatia 10/4/2020,393
Croatia 11/30/2020,2423
Croatia 12/1/2020,2351
Croatia 12/2/2020,2401
Croatia 12/3/2020,2541
Croatia 12/4/2020,2526
Croatia 12/5/2020,2449
Croatia 12/6/2020,2487
Croatia 12/7/2020,2653
Croatia 12/8/2020,2644
Croatia 12/9/2020,2677
Croatia 12/10/2020,2720
Croatia 12/11/2020,2760
Croatia 12/12/2020,2673
Croatia 12/13/2020,2793
Croatia 12/14/2020,2688
Croatia 12/15/2020,2724
Croatia 12/16/2020,2691
Croatia 12/17/2020,2754
Croatia 12/18/2020,2672
Croatia 12/19/2020,2574
Croatia 12/20/2020,2764
Croatia 12/21/2020,2646
Croatia 12/22/2020,2529
Croatia 12/23/2020,2428
Croatia 12/24/2020,2299
Croatia 12/25/2020,2186
Croatia 12/26/2020,2255
Croatia 12/27/2020,2322
Croatia 3/1/2021,875
Croatia 3/2/2021,891
Croatia 3/3/2021,896
Croatia 3/4/2021,902
Croatia 3/5/2021,900
Croatia 3/6/2021,900
Croatia 3/7/2021,905
Croatia 3/8/2021,911
Croatia 3/9/2021,898
Croatia 3/10/2021,901
Croatia 3/11/2021,925
Croatia 3/12/2021,936
Croatia 3/13/2021,932
Croatia 3/14/2021,962
Croatia 3/15/2021,1008
Croatia 3/16/2021,995
Croatia 3/17/2021,1009
Croatia 3/18/2021,1028
Croatia 3/19/2021,1049
Croatia 3/20/2021,1045
Croatia 3/21/2021,1098
Croatia 3/22/2021,1219
Croatia 3/23/2021,1183
Croatia 3/24/2021,1165
Croatia 3/25/2021,1220
Croatia 3/26/2021,1277
Croatia 3/27/2021,1325
Croatia 3/28/2021,1412
Cyprus 9/7/2020,8
Cyprus 9/8/2020,5
Cyprus 9/9/2020,6
Cyprus 9/10/2020,6
Cyprus 9/11/2020,7
Cyprus 9/12/2020,7
Cyprus 9/13/2020,7
Cyprus 9/14/2020,9
Cyprus 9/15/2020,9
Cyprus 9/16/2020,10
Cyprus 9/17/2020,11
Cyprus 9/18/2020,12
Cyprus 9/19/2020,13
Cyprus 9/20/2020,14
Cyprus 9/21/2020,12
Cyprus 9/22/2020,15
Cyprus 9/23/2020,12
Cyprus 9/24/2020,14
Cyprus 9/25/2020,15
Cyprus 9/26/2020,17
Cyprus 9/27/2020,15
Cyprus 9/28/2020,18
Cyprus 9/29/2020,17
Cyprus 9/30/2020,20
Cyprus 10/1/2020,18
Cyprus 10/2/2020,18
Cyprus 10/3/2020,15
Cyprus 10/4/2020,17
Cyprus 11/30/2020,102
Cyprus 12/1/2020,105
Cyprus 12/2/2020,114
Cyprus 12/3/2020,112
Cyprus 12/4/2020,119
Cyprus 12/5/2020,103
Cyprus 12/6/2020,100
Cyprus 12/7/2020,100
Cyprus 12/8/2020,110
Cyprus 12/9/2020,106
Cyprus 12/10/2020,112
Cyprus 12/11/2020,100
Cyprus 12/12/2020,94
Cyprus 12/13/2020,89
Cyprus 12/14/2020,120
Cyprus 12/15/2020,126
Cyprus 12/16/2020,129
Cyprus 12/17/2020,137
Cyprus 12/18/2020,130
Cyprus 12/19/2020,125
Cyprus 12/20/2020,120
Cyprus 12/21/2020,108
Cyprus 12/22/2020,111
Cyprus 12/23/2020,107
Cyprus 12/24/2020,119
Cyprus 12/25/2020,118
Cyprus 12/26/2020,119
Cyprus 12/27/2020,120
Cyprus 3/1/2021,135
Cyprus 3/2/2021,131
Cyprus 3/3/2021,123
Cyprus 3/4/2021,123
Cyprus 3/5/2021,125
Cyprus 3/6/2021,125
Cyprus 3/7/2021,141
Cyprus 3/8/2021,162
Cyprus 3/9/2021,168
Cyprus 3/10/2021,171
Cyprus 3/11/2021,171
Cyprus 3/12/2021,181
Cyprus 3/13/2021,193
Cyprus 3/14/2021,202
Cyprus 3/15/2021,201
Cyprus 3/16/2021,194
Cyprus 3/17/2021,204
Cyprus 3/18/2021,207
Cyprus 3/19/2021,208
Cyprus 3/20/2021,204
Cyprus 3/21/2021,188
