country_id,next_week_hospitalizations
Belgium 9/7/2020,250
Belgium 9/8/2020,257
Belgium 9/9/2020,257
Belgium 9/10/2020,259
Belgium 9/11/2020,262
Belgium 9/12/2020,265
Belgium 9/13/2020,274
Belgium 9/14/2020,344
Belgium 9/15/2020,347
Belgium 9/16/2020,359
Belgium 9/17/2020,366
Belgium 9/18/2020,374
Belgium 9/19/2020,384
Belgium 9/20/2020,390
Belgium 9/21/2020,431
Belgium 9/22/2020,438
Belgium 9/23/2020,451
Belgium 9/24/2020,466
Belgium 9/25/2020,473
Belgium 9/26/2020,478
Belgium 9/27/2020,488
Belgium 9/28/2020,621
Belgium 9/29/2020,627
Belgium 9/30/2020,635
Belgium 10/1/2020,583
Belgium 10/2/2020,587
Belgium 10/3/2020,594
Belgium 10/4/2020,607
Belgium 11/30/2020,1590
Belgium 12/1/2020,1481
Belgium 12/2/2020,1429
Belgium 12/3/2020,1355
Belgium 12/4/2020,1330
Belgium 12/5/2020,1261
Belgium 12/6/2020,1280
Belgium 12/7/2020,2625
Belgium 12/8/2020,2581
Belgium 12/9/2020,2547
Belgium 12/10/2020,2524
Belgium 12/11/2020,2503
Belgium 12/12/2020,2462
Belgium 12/13/2020,2493
Belgium 12/14/2020,2514
Belgium 12/15/2020,2476
Belgium 12/16/2020,2455
Belgium 12/17/2020,2448
Belgium 12/18/2020,2426
Belgium 12/19/2020,2396
Belgium 12/20/2020,2402
Belgium 12/21/2020,2083
Belgium 12/22/2020,2069
Belgium 12/23/2020,2045
Belgium 12/24/2020,2040
Belgium 12/25/2020,1989
Belgium 12/26/2020,1992
Belgium 12/27/2020,2019
Belgium 3/1/2021,1252
Belgium 3/2/2021,1237
Belgium 3/3/2021,1235
Belgium 3/4/2021,1234
Belgium 3/5/2021,1235
Belgium 3/6/2021,1222
Belgium 3/7/2021,1239
Belgium 3/8/2021,1231
Belgium 3/9/2021,1220
Belgium 3/10/2021,1212
Belgium 3/11/2021,1203
Belgium 3/12/2021,1207
Belgium 3/13/2021,1206
Belgium 3/14/2021,1241
Belgium 3/15/2021,1453
Belgium 3/16/2021,1448
Belgium 3/17/2021,1466
Belgium 3/18/2021,1478
Belgium 3/19/2021,1486
Belgium 3/20/2021,1493
Belgium 3/21/2021,1530
Belgium 3/22/2021,1950
Belgium 3/23/2021,1966
Belgium 3/24/2021,1990
Belgium 3/25/2021,2011
Belgium 3/26/2021,2019
Belgium 3/27/2021,2049
Belgium 3/28/2021,2108
Croatia 9/7/2020,404
Croatia 9/8/2020,403
Croatia 9/9/2020,403
Croatia 9/10/2020,413
Croatia 9/11/2020,417
Croatia 9/12/2020,413
Croatia 9/13/2020,413
Croatia 9/14/2020,482
Croatia 9/15/2020,480
Croatia 9/16/2020,479
Croatia 9/17/2020,483
Croatia 9/18/2020,477
Croatia 9/19/2020,481
Croatia 9/20/2020,480
Croatia 9/21/2020,527
Croatia 9/22/2020,521
Croatia 9/23/2020,522
Croatia 9/24/2020,519
Croatia 9/25/2020,523
Croatia 9/26/2020,524
Croatia 9/27/2020,529
Croatia 9/28/2020,579
Croatia 9/29/2020,574
Croatia 9/30/2020,581
Croatia 10/1/2020,587
Croatia 10/2/2020,584
Croatia 10/3/2020,586
Croatia 10/4/2020,591
Croatia 11/30/2020,1966
Croatia 12/1/2020,1910
Croatia 12/2/2020,1930
Croatia 12/3/2020,1961
Croatia 12/4/2020,1971
Croatia 12/5/2020,1970
Croatia 12/6/2020,1982
Croatia 12/7/2020,2175
Croatia 12/8/2020,2187
Croatia 12/9/2020,2203
Croatia 12/10/2020,2221
Croatia 12/11/2020,2238
Croatia 12/12/2020,2238
Croatia 12/13/2020,2263
Croatia 12/14/2020,2296
Croatia 12/15/2020,2311
Croatia 12/16/2020,2317
Croatia 12/17/2020,2331
Croatia 12/18/2020,2326
Croatia 12/19/2020,2316
Croatia 12/20/2020,2349
Croatia 12/21/2020,2582
Croatia 12/22/2020,2567
Croatia 12/23/2020,2554
Croatia 12/24/2020,2529
Croatia 12/25/2020,2506
Croatia 12/26/2020,2509
Croatia 12/27/2020,2520
Croatia 3/1/2021,643
Croatia 3/2/2021,632
Croatia 3/3/2021,623
Croatia 3/4/2021,613
Croatia 3/5/2021,607
Croatia 3/6/2021,599
Croatia 3/7/2021,597
Croatia 3/8/2021,591
Croatia 3/9/2021,581
Croatia 3/10/2021,578
Croatia 3/11/2021,573
Croatia 3/12/2021,570
Croatia 3/13/2021,566
Croatia 3/14/2021,572
Croatia 3/15/2021,556
Croatia 3/16/2021,550
Croatia 3/17/2021,553
Croatia 3/18/2021,551
Croatia 3/19/2021,552
Croatia 3/20/2021,552
Croatia 3/21/2021,558
Croatia 3/22/2021,604
Croatia 3/23/2021,598
Croatia 3/24/2021,595
Croatia 3/25/2021,599
Croatia 3/26/2021,604
Croatia 3/27/2021,611
Croatia 3/28/2021,621
Cyprus 9/7/2020,17
Cyprus 9/8/2020,18
Cyprus 9/9/2020,18
Cyprus 9/10/2020,18
Cyprus 9/11/2020,19
Cyprus 9/12/2020,19
Cyprus 9/13/2020,19
Cyprus 9/14/2020,21
Cyprus 9/15/2020,21
Cyprus 9/16/2020,22
Cyprus 9/17/2020,22
