country_id,next_week_hospitalizations
Belgium 9/7/2020,158
Belgium 9/8/2020,189
Belgium 9/9/2020,166
Belgium 9/10/2020,184
Belgium 9/11/2020,188
Belgium 9/12/2020,185
Belgium 9/13/2020,222
Belgium 9/14/2020,235
Belgium 9/15/2020,236
Belgium 9/16/2020,249
Belgium 9/17/2020,268
Belgium 9/18/2020,274
Belgium 9/19/2020,295
Belgium 9/20/2020,296
Belgium 9/21/2020,376
Belgium 9/22/2020,403
Belgium 9/23/2020,409
Belgium 9/24/2020,441
Belgium 9/25/2020,452
Belgium 9/26/2020,441
Belgium 9/27/2020,440
Belgium 9/28/2020,759
Belgium 9/29/2020,757
Belgium 9/30/2020,765
Belgium 10/1/2020,782
Belgium 10/2/2020,784
Belgium 10/3/2020,810
Belgium 10/4/2020,864
Belgium 11/30/2020,2799
Belgium 12/1/2020,2456
Belgium 12/2/2020,2530
Belgium 12/3/2020,2323
Belgium 12/4/2020,2266
Belgium 12/5/2020,2173
Belgium 12/6/2020,2330
Belgium 12/7/2020,3112
Belgium 12/8/2020,2969
Belgium 12/9/2020,2937
Belgium 12/10/2020,2868
Belgium 12/11/2020,2750
Belgium 12/12/2020,2606
Belgium 12/13/2020,2853
Belgium 12/14/2020,2767
Belgium 12/15/2020,2594
Belgium 12/16/2020,2602
Belgium 12/17/2020,2579
Belgium 12/18/2020,2456
Belgium 12/19/2020,2394
Belgium 12/20/2020,2482
Belgium 12/21/2020,2327
Belgium 12/22/2020,2252
Belgium 12/23/2020,2195
Belgium 12/24/2020,2201
Belgium 12/25/2020,1941
Belgium 12/26/2020,2022
Belgium 12/27/2020,2183
Belgium 3/1/2021,1956
Belgium 3/2/2021,1843
Belgium 3/3/2021,1829
Belgium 3/4/2021,1815
Belgium 3/5/2021,1798
Belgium 3/6/2021,1750
Belgium 3/7/2021,1883
Belgium 3/8/2021,1907
Belgium 3/9/2021,1902
Belgium 3/10/2021,1889
Belgium 3/11/2021,1847
Belgium 3/12/2021,1828
Belgium 3/13/2021,1844
Belgium 3/14/2021,2021
Belgium 3/15/2021,2457
Belgium 3/16/2021,2461
Belgium 3/17/2021,2472
Belgium 3/18/2021,2473
Belgium 3/19/2021,2423
Belgium 3/20/2021,2400
Belgium 3/21/2021,2461
Belgium 3/22/2021,2873
Belgium 3/23/2021,2917
Belgium 3/24/2021,2938
Belgium 3/25/2021,2935
Belgium 3/26/2021,2884
Belgium 3/27/2021,2904
Belgium 3/28/2021,3026
Croatia 9/7/2020,422
Croatia 9/8/2020,400
Croatia 9/9/2020,396
Croatia 9/10/2020,435
Croatia 9/11/2020,424
Croatia 9/12/2020,395
Croatia 9/13/2020,401
Croatia 9/14/2020,408
Croatia 9/15/2020,380
Croatia 9/16/2020,385
Croatia 9/17/2020,403
Croatia 9/18/2020,356
Croatia 9/19/2020,392
Croatia 9/20/2020,377
Croatia 9/21/2020,415
Croatia 9/22/2020,374
Croatia 9/23/2020,396
Croatia 9/24/2020,368
Croatia 9/25/2020,393
Croatia 9/26/2020,384
Croatia 9/27/2020,412
Croatia 9/28/2020,445
Croatia 9/29/2020,413
Croatia 9/30/2020,454
Croatia 10/1/2020,462
Croatia 10/2/2020,433
Croatia 10/3/2020,452
Croatia 10/4/2020,462
Croatia 11/30/2020,1993
Croatia 12/1/2020,1895
Croatia 12/2/2020,1996
Croatia 12/3/2020,2115
Croatia 12/4/2020,2053
Croatia 12/5/2020,2014
Croatia 12/6/2020,2077
Croatia 12/7/2020,2212
Croatia 12/8/2020,2182
Croatia 12/9/2020,2250
Croatia 12/10/2020,2295
Croatia 12/11/2020,2314
